OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(2921484k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 35785K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 54% used [0x000000076ab00000,0x000000076cdf2568,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7648K, capacity 8005K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
916: [GC (Allocation Failure) [PSYoungGen: 132784K->1664K(141824K)] 132816K->1704K(316928K), 0.0017793 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
8.158: [GC (Allocation Failure) [PSYoungGen: 277600K->96K(267264K)] 279312K->1808K(442368K), 0.0005567 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.290: [GC (Allocation Failure) [PSYoungGen: 266848K->96K(257536K)] 268560K->1808K(432640K), 0.0005566 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.413: [GC (Allocation Failure) [PSYoungGen: 256608K->96K(247296K)] 258320K->1816K(422400K), 0.0005442 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.530: [GC (Allocation Failure) [PSYoungGen: 246880K->64K(238080K)] 248600K->1784K(413184K), 0.0005009 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.643: [GC (Allocation Failure) [PSYoungGen: 237120K->96K(228352K)] 238840K->1816K(403456K), 0.0006564 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
8.754: [GC (Allocation Failure) [PSYoungGen: 227936K->96K(220160K)] 229656K->1816K(395264K), 0.0006455 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.855: [GC (Allocation Failure) [PSYoungGen: 219232K->64K(211456K)] 220952K->1784K(386560K), 0.0005299 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.953: [GC (Allocation Failure) [PSYoungGen: 211008K->96K(204288K)] 212728K->1816K(379392K), 0.0005231 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.050: [GC (Allocation Failure) [PSYoungGen: 203360K->64K(196096K)] 205080K->1784K(371200K), 0.0005540 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.141: [GC (Allocation Failure) [PSYoungGen: 195648K->96K(189440K)] 197368K->1816K(364544K), 0.0005216 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.229: [GC (Allocation Failure) [PSYoungGen: 188512K->96K(182272K)] 190232K->1816K(357376K), 0.0005340 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.314: [GC (Allocation Failure) [PSYoungGen: 181856K->96K(175616K)] 183576K->1816K(350720K), 0.0005059 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.395: [GC (Allocation Failure) [PSYoungGen: 175200K->96K(169472K)] 176920K->1816K(344576K), 0.0005142 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.474: [GC (Allocation Failure) [PSYoungGen: 169056K->96K(163840K)] 170776K->1816K(338944K), 0.0004968 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.549: [GC (Allocation Failure) [PSYoungGen: 163424K->96K(158208K)] 165144K->1816K(333312K), 0.0005478 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
9.623: [GC (Allocation Failure) [PSYoungGen: 157792K->64K(153088K)] 159512K->1784K(328192K), 0.0005529 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.693: [GC (Allocation Failure) [PSYoungGen: 152640K->96K(147968K)] 154360K->1816K(323072K), 0.0005056 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.762: [GC (Allocation Failure) [PSYoungGen: 147552K->64K(143360K)] 149272K->1784K(318464K), 0.0005076 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.829: [GC (Allocation Failure) [PSYoungGen: 142912K->96K(138752K)] 144632K->1816K(313856K), 0.0004987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.894: [GC (Allocation Failure) [PSYoungGen: 138336K->96K(134144K)] 140056K->1816K(309248K), 0.0005179 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.956: [GC (Allocation Failure) [PSYoungGen: 133728K->96K(130048K)] 135448K->1816K(305152K), 0.0005082 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.018: [GC (Allocation Failure) [PSYoungGen: 129632K->64K(125952K)] 131352K->1784K(301056K), 0.0005191 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.076: [GC (Allocation Failure) [PSYoungGen: 125504K->64K(121856K)] 127224K->1784K(296960K), 0.0005209 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.133: [GC (Allocation Failure) [PSYoungGen: 121408K->96K(118272K)] 123128K->1816K(293376K), 0.0005082 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.188: [GC (Allocation Failure) [PSYoungGen: 117856K->96K(114688K)] 119576K->1816K(289792K), 0.0005131 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.247: [GC (Allocation Failure) [PSYoungGen: 114272K->160K(111104K)] 115992K->1888K(286208K), 0.0004525 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.301: [GC (Allocation Failure) [PSYoungGen: 110752K->32K(108032K)] 112480K->1824K(283136K), 0.0005031 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.351: [GC (Allocation Failure) [PSYoungGen: 107552K->64K(104960K)] 109344K->1856K(280064K), 0.0005419 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.400: [GC (Allocation Failure) [PSYoungGen: 104512K->64K(101888K)] 106304K->1856K(276992K), 0.0004876 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.447: [GC (Allocation Failure) [PSYoungGen: 101440K->64K(98816K)] 103232K->1856K(273920K), 0.0004846 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.493: [GC (Allocation Failure) [PSYoungGen: 98368K->96K(96256K)] 100160K->1888K(271360K), 0.0005033 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.538: [GC (Allocation Failure) [PSYoungGen: 95840K->64K(93696K)] 97632K->1856K(268800K), 0.0005046 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.581: [GC (Allocation Failure) [PSYoungGen: 93248K->96K(91136K)] 95040K->1888K(266240K), 0.0005044 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.623: [GC (Allocation Failure) [PSYoungGen: 90720K->64K(88576K)] 92512K->1856K(263680K), 0.0004523 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.664: [GC (Allocation Failure) [PSYoungGen: 88128K->96K(86528K)] 89920K->1888K(261632K), 0.0004771 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.704: [GC (Allocation Failure) [PSYoungGen: 86112K->64K(103936K)] 87904K->1856K(279040K), 0.0004962 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.752: [GC (Allocation Failure) [PSYoungGen: 103488K->64K(124928K)] 105280K->1856K(300032K), 0.0005119 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.810: [GC (Allocation Failure) [PSYoungGen: 124480K->96K(121344K)] 126272K->1888K(296448K), 0.0005077 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.866: [GC (Allocation Failure) [PSYoungGen: 120928K->32K(117760K)] 122720K->1824K(292864K), 0.0005477 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.920: [GC (Allocation Failure) [PSYoungGen: 117280K->96K(114176K)] 119072K->1888K(289280K), 0.0005041 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.974: [GC (Allocation Failure) [PSYoungGen: 113760K->96K(110592K)] 115552K->1888K(285696K), 0.0005258 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.026: [GC (Allocation Failure) [PSYoungGen: 110176K->96K(107520K)] 111968K->1888K(282624K), 0.0005013 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.075: [GC (Allocation Failure) [PSYoungGen: 107104K->96K(104448K)] 108896K->1888K(279552K), 0.0004953 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.124: [GC (Allocation Failure) [PSYoungGen: 104032K->96K(101376K)] 105824K->1888K(276480K), 0.0005019 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.170: [GC (Allocation Failure) [PSYoungGen: 100960K->96K(98816K)] 102752K->1888K(273920K), 0.0005092 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.217: [GC (Allocation Failure) [PSYoungGen: 98400K->96K(96256K)] 100192K->1888K(271360K), 0.0005129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.262: [GC (Allocation Failure) [PSYoungGen: 95840K->64K(93696K)] 97632K->1856K(268800K), 0.0005042 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.305: [GC (Allocation Failure) [PSYoungGen: 93248K->64K(91136K)] 95040K->1856K(266240K), 0.0004943 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.347: [GC (Allocation Failure) [PSYoungGen: 90688K->32K(109568K)] 92480K->1824K(284672K), 0.0004847 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.398: [GC (Allocation Failure) [PSYoungGen: 109088K->96K(106496K)] 110880K->1888K(281600K), 0.0004884 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.447: [GC (Allocation Failure) [PSYoungGen: 106080K->96K(103424K)] 107872K->1888K(278528K), 0.0004778 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.495: [GC (Allocation Failure) [PSYoungGen: 103008K->64K(124416K)] 104800K->1856K(299520K), 0.0009828 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.553: [GC (Allocation Failure) [PSYoungGen: 123968K->96K(149504K)] 125760K->1888K(324608K), 0.0004919 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.622: [GC (Allocation Failure) [PSYoungGen: 149088K->64K(144384K)] 150880K->1856K(319488K), 0.0004909 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.688: [GC (Allocation Failure) [PSYoungGen: 143936K->64K(139776K)] 145728K->1856K(314880K), 0.0004703 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.753: [GC (Allocation Failure) [PSYoungGen: 139328K->64K(135168K)] 141120K->1856K(310272K), 0.0007222 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.815: [GC (Allocation Failure) [PSYoungGen: 134720K->64K(131072K)] 136512K->1856K(306176K), 0.0005109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.876: [GC (Allocation Failure) [PSYoungGen: 130624K->96K(126976K)] 132416K->1888K(302080K), 0.0005010 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.934: [GC (Allocation Failure) [PSYoungGen: 126560K->96K(122880K)] 128352K->1888K(297984K), 0.0005021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.993: [GC (Allocation Failure) [PSYoungGen: 122464K->96K(119296K)] 124256K->1888K(294400K), 0.0005152 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.048: [GC (Allocation Failure) [PSYoungGen: 118880K->96K(115712K)] 120672K->1888K(290816K), 0.0005387 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.102: [GC (Allocation Failure) [PSYoungGen: 115296K->64K(112128K)] 117088K->1856K(287232K), 0.0005467 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.154: [GC (Allocation Failure) [PSYoungGen: 111680K->96K(109056K)] 113472K->1888K(284160K), 0.0004923 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.205: [GC (Allocation Failure) [PSYoungGen: 108640K->96K(105984K)] 110432K->1888K(281088K), 0.0004827 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.254: [GC (Allocation Failure) [PSYoungGen: 105568K->96K(102912K)] 107360K->1888K(278016K), 0.0005120 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.302: [GC (Allocation Failure) [PSYoungGen: 102496K->96K(123392K)] 104288K->1888K(298496K), 0.0006958 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.359: [GC (Allocation Failure) [PSYoungGen: 122976K->96K(119808K)] 124768K->1888K(294912K), 0.0005054 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.415: [GC (Allocation Failure) [PSYoungGen: 119392K->96K(116224K)] 121184K->1888K(291328K), 0.0005143 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.469: [GC (Allocation Failure) [PSYoungGen: 115808K->64K(112640K)] 117600K->1856K(287744K), 0.0005037 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.522: [GC (Allocation Failure) [PSYoungGen: 112192K->96K(109568K)] 113984K->1888K(284672K), 0.0005141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.574: [GC (Allocation Failure) [PSYoungGen: 109152K->96K(106496K)] 110944K->1888K(281600K), 0.0005234 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.623: [GC (Allocation Failure) [PSYoungGen: 106080K->96K(103424K)] 107872K->1888K(278528K), 0.0004710 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.671: [GC (Allocation Failure) [PSYoungGen: 103008K->96K(100352K)] 104800K->1888K(275456K), 0.0005086 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.718: [GC (Allocation Failure) [PSYoungGen: 99936K->32K(97792K)] 101728K->1824K(272896K), 0.0004986 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.764: [GC (Allocation Failure) [PSYoungGen: 97312K->96K(95232K)] 99104K->1888K(270336K), 0.0005121 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.809: [GC (Allocation Failure) [PSYoungGen: 94816K->96K(92672K)] 96608K->1888K(267776K), 0.0005160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.852: [GC (Allocation Failure) [PSYoungGen: 92256K->96K(90112K)] 94048K->1888K(265216K), 0.0005051 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.894: [GC (Allocation Failure) [PSYoungGen: 89696K->64K(108032K)] 91488K->1856K(283136K), 0.0004886 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.944: [GC (Allocation Failure) [PSYoungGen: 107584K->64K(104960K)] 109376K->1856K(280064K), 0.0004871 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.994: [GC (Allocation Failure) [PSYoungGen: 104512K->96K(101888K)] 106304K->1888K(276992K), 0.0005444 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.041: [GC (Allocation Failure) [PSYoungGen: 101472K->96K(98816K)] 103264K->1888K(273920K), 0.0005086 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.087: [GC (Allocation Failure) [PSYoungGen: 98400K->96K(96256K)] 100192K->1888K(271360K), 0.0005096 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.132: [GC (Allocation Failure) [PSYoungGen: 95840K->96K(115712K)] 97632K->1888K(290816K), 0.0005124 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.185: [GC (Allocation Failure) [PSYoungGen: 115296K->96K(112128K)] 117088K->1888K(287232K), 0.0005206 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.237: [GC (Allocation Failure) [PSYoungGen: 111712K->96K(109056K)] 113504K->1888K(284160K), 0.0005371 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.292: [GC (Allocation Failure) [PSYoungGen: 108640K->96K(105984K)] 110432K->1888K(281088K), 0.0005172 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.342: [GC (Allocation Failure) [PSYoungGen: 105568K->96K(102912K)] 107360K->1888K(278016K), 0.0005079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.391: [GC (Allocation Failure) [PSYoungGen: 102496K->96K(99840K)] 104288K->1888K(274944K), 0.0005053 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.437: [GC (Allocation Failure) [PSYoungGen: 99424K->64K(97280K)] 101216K->1856K(272384K), 0.0005078 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.482: [GC (Allocation Failure) [PSYoungGen: 96832K->96K(94720K)] 98624K->1888K(269824K), 0.0004923 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.527: [GC (Allocation Failure) [PSYoungGen: 94304K->64K(92160K)] 96096K->1856K(267264K), 0.0005257 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.569: [GC (Allocation Failure) [PSYoungGen: 91712K->96K(110592K)] 93504K->1888K(285696K), 0.0005098 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.621: [GC (Allocation Failure) [PSYoungGen: 110176K->96K(107520K)] 111968K->1888K(282624K), 0.0004905 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.671: [GC (Allocation Failure) [PSYoungGen: 107104K->96K(104448K)] 108896K->1888K(279552K), 0.0004993 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.719: [GC (Allocation Failure) [PSYoungGen: 104032K->32K(101376K)] 105824K->1824K(276480K), 0.0004931 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.766: [GC (Allocation Failure) [PSYoungGen: 100896K->96K(98816K)] 102688K->1888K(273920K), 0.0005132 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.812: [GC (Allocation Failure) [PSYoungGen: 98400K->96K(96256K)] 100192K->1888K(271360K), 0.0004999 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.856: [GC (Allocation Failure) [PSYoungGen: 95840K->96K(93696K)] 97632K->1888K(268800K), 0.0004820 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.900: [GC (Allocation Failure) [PSYoungGen: 93280K->96K(91136K)] 95072K->1888K(266240K), 0.0004965 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.942: [GC (Allocation Failure) [PSYoungGen: 90720K->64K(109568K)] 92512K->1864K(284672K), 0.0004958 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.994: [GC (Allocation Failure) [PSYoungGen: 109120K->96K(106496K)] 110920K->1896K(281600K), 0.0005154 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.043: [GC (Allocation Failure) [PSYoungGen: 106080K->96K(128000K)] 107880K->1896K(303104K), 0.0006986 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.103: [GC (Allocation Failure) [PSYoungGen: 127584K->96K(123904K)] 129384K->1896K(299008K), 0.0004918 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.160: [GC (Allocation Failure) [PSYoungGen: 123488K->96K(120320K)] 125288K->1896K(295424K), 0.0004915 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.216: [GC (Allocation Failure) [PSYoungGen: 119904K->96K(116736K)] 121704K->1896K(291840K), 0.0005175 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
14.270: [GC (Allocation Failure) [PSYoungGen: 116320K->96K(113152K)] 118120K->1896K(288256K), 0.0005266 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.322: [GC (Allocation Failure) [PSYoungGen: 112736K->64K(110080K)] 114536K->1864K(285184K), 0.0005023 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.373: [GC (Allocation Failure) [PSYoungGen: 109632K->96K(107008K)] 111432K->1896K(282112K), 0.0004876 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.423: [GC (Allocation Failure) [PSYoungGen: 106592K->96K(103936K)] 108392K->1896K(279040K), 0.0005069 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.471: [GC (Allocation Failure) [PSYoungGen: 103520K->64K(100864K)] 105320K->1864K(275968K), 0.0005035 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
