OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(741696k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 35677K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 54% used [0x000000076ab00000,0x000000076cdd7660,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7659K, capacity 8005K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
942: [GC (Allocation Failure) [PSYoungGen: 132704K->1664K(141824K)] 132728K->1696K(316928K), 0.0017004 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
4.155: [GC (Allocation Failure) [PSYoungGen: 384576K->96K(368640K)] 386235K->1755K(543744K), 0.0006257 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.414: [GC (Allocation Failure) [PSYoungGen: 368224K->96K(356352K)] 369883K->1755K(531456K), 0.0005043 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.665: [GC (Allocation Failure) [PSYoungGen: 352864K->96K(338432K)] 354523K->1755K(513536K), 0.0006143 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.904: [GC (Allocation Failure) [PSYoungGen: 338016K->96K(327680K)] 339675K->1755K(502784K), 0.0004990 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.132: [GC (Allocation Failure) [PSYoungGen: 324192K->32K(311296K)] 325851K->1699K(486400K), 0.0006006 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
5.353: [GC (Allocation Failure) [PSYoungGen: 310816K->96K(301056K)] 312483K->1763K(476160K), 0.0004995 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.566: [GC (Allocation Failure) [PSYoungGen: 298080K->96K(286720K)] 299747K->1763K(461824K), 0.0005842 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.770: [GC (Allocation Failure) [PSYoungGen: 286304K->96K(277504K)] 287971K->1763K(452608K), 0.0005234 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.964: [GC (Allocation Failure) [PSYoungGen: 275040K->96K(264704K)] 276707K->1763K(439808K), 0.0005672 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.152: [GC (Allocation Failure) [PSYoungGen: 264287K->96K(256512K)] 265955K->1763K(431616K), 0.0004836 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
6.332: [GC (Allocation Failure) [PSYoungGen: 254048K->96K(244736K)] 255715K->1763K(419840K), 0.0005766 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
6.504: [GC (Allocation Failure) [PSYoungGen: 244320K->64K(237056K)] 245987K->1731K(412160K), 0.0005076 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.673: [GC (Allocation Failure) [PSYoungGen: 235072K->64K(226816K)] 236739K->1731K(401920K), 0.0005413 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.834: [GC (Allocation Failure) [PSYoungGen: 226368K->96K(219648K)] 228035K->1763K(394752K), 0.0004969 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.988: [GC (Allocation Failure) [PSYoungGen: 217696K->64K(209920K)] 219363K->1739K(385024K), 0.0005625 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.137: [GC (Allocation Failure) [PSYoungGen: 209472K->64K(203264K)] 211147K->1739K(378368K), 0.0005035 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.279: [GC (Allocation Failure) [PSYoungGen: 201792K->64K(195072K)] 203467K->1739K(370176K), 0.0005503 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.416: [GC (Allocation Failure) [PSYoungGen: 194624K->64K(188928K)] 196299K->1739K(364032K), 0.0005077 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.552: [GC (Allocation Failure) [PSYoungGen: 187456K->96K(181248K)] 189131K->1771K(356352K), 0.0006757 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.682: [GC (Allocation Failure) [PSYoungGen: 180832K->96K(176128K)] 182507K->1771K(351232K), 0.0004923 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.807: [GC (Allocation Failure) [PSYoungGen: 174688K->96K(168960K)] 176363K->1771K(344064K), 0.0005404 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.926: [GC (Allocation Failure) [PSYoungGen: 168544K->64K(163840K)] 170219K->1739K(338944K), 0.0005001 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.041: [GC (Allocation Failure) [PSYoungGen: 162880K->96K(157696K)] 164555K->1771K(332800K), 0.0005486 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.155: [GC (Allocation Failure) [PSYoungGen: 157280K->64K(153088K)] 158955K->1739K(328192K), 0.0004986 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.266: [GC (Allocation Failure) [PSYoungGen: 152128K->96K(147456K)] 153803K->1771K(322560K), 0.0004760 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.372: [GC (Allocation Failure) [PSYoungGen: 147040K->64K(143360K)] 148715K->1739K(318464K), 0.0005177 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
8.472: [GC (Allocation Failure) [PSYoungGen: 142400K->96K(138240K)] 144075K->1771K(313344K), 0.0005284 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.573: [GC (Allocation Failure) [PSYoungGen: 137824K->64K(134144K)] 139499K->1739K(309248K), 0.0005013 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.667: [GC (Allocation Failure) [PSYoungGen: 133184K->64K(129536K)] 134859K->1739K(304640K), 0.0005341 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.760: [GC (Allocation Failure) [PSYoungGen: 129088K->32K(125952K)] 130763K->1707K(301056K), 0.0005221 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.848: [GC (Allocation Failure) [PSYoungGen: 124960K->96K(121344K)] 126635K->1771K(296448K), 0.0005238 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
8.936: [GC (Allocation Failure) [PSYoungGen: 120928K->96K(117760K)] 122603K->1771K(292864K), 0.0005176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.021: [GC (Allocation Failure) [PSYoungGen: 117344K->64K(114176K)] 119019K->1739K(289280K), 0.0005142 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.103: [GC (Allocation Failure) [PSYoungGen: 113728K->32K(110592K)] 115403K->1707K(285696K), 0.0005046 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.180: [GC (Allocation Failure) [PSYoungGen: 110112K->64K(107520K)] 111787K->1739K(282624K), 0.0004938 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.256: [GC (Allocation Failure) [PSYoungGen: 107072K->32K(104448K)] 108747K->1707K(279552K), 0.0005005 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.336: [GC (Allocation Failure) [PSYoungGen: 103968K->96K(101376K)] 105643K->1771K(276480K), 0.0005313 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.408: [GC (Allocation Failure) [PSYoungGen: 100960K->96K(98816K)] 102635K->1771K(273920K), 0.0005036 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.481: [GC (Allocation Failure) [PSYoungGen: 98400K->96K(96256K)] 100075K->1771K(271360K), 0.0004591 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
9.548: [GC (Allocation Failure) [PSYoungGen: 95840K->64K(93696K)] 97515K->1739K(268800K), 0.0004955 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.616: [GC (Allocation Failure) [PSYoungGen: 93248K->96K(91136K)] 94923K->1771K(266240K), 0.0005203 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.681: [GC (Allocation Failure) [PSYoungGen: 90720K->96K(88576K)] 92395K->1771K(263680K), 0.0005049 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.743: [GC (Allocation Failure) [PSYoungGen: 88160K->64K(86528K)] 89835K->1739K(261632K), 0.0006878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.805: [GC (Allocation Failure) [PSYoungGen: 86080K->64K(84480K)] 87755K->1739K(259584K), 0.0005035 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.865: [GC (Allocation Failure) [PSYoungGen: 84032K->96K(82432K)] 85707K->1771K(257536K), 0.0004881 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.923: [GC (Allocation Failure) [PSYoungGen: 82016K->64K(80384K)] 83691K->1739K(255488K), 0.0004728 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.980: [GC (Allocation Failure) [PSYoungGen: 79936K->96K(78336K)] 81611K->1771K(253440K), 0.0004746 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.035: [GC (Allocation Failure) [PSYoungGen: 77920K->64K(76288K)] 79595K->1739K(251392K), 0.0004860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.091: [GC (Allocation Failure) [PSYoungGen: 75840K->64K(74752K)] 77515K->1739K(249856K), 0.0008555 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.144: [GC (Allocation Failure) [PSYoungGen: 74304K->96K(73216K)] 75979K->1771K(248320K), 0.0005351 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.200: [GC (Allocation Failure) [PSYoungGen: 72800K->64K(71680K)] 74475K->1739K(246784K), 0.0004838 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.250: [GC (Allocation Failure) [PSYoungGen: 71232K->64K(70144K)] 72907K->1739K(245248K), 0.0004725 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.308: [GC (Allocation Failure) [PSYoungGen: 69696K->160K(68608K)] 71371K->1835K(243712K), 0.0004511 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.359: [GC (Allocation Failure) [PSYoungGen: 68256K->32K(67072K)] 69931K->1779K(242176K), 0.0005624 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.406: [GC (Allocation Failure) [PSYoungGen: 66592K->96K(65536K)] 68339K->1843K(240640K), 0.0004693 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.453: [GC (Allocation Failure) [PSYoungGen: 65120K->64K(64000K)] 66867K->1811K(239104K), 0.0004878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.498: [GC (Allocation Failure) [PSYoungGen: 63552K->64K(62464K)] 65299K->1811K(237568K), 0.0004902 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.543: [GC (Allocation Failure) [PSYoungGen: 62016K->96K(61440K)] 63763K->1843K(236544K), 0.0004954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.587: [GC (Allocation Failure) [PSYoungGen: 61024K->96K(60416K)] 62771K->1843K(235520K), 0.0005036 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.630: [GC (Allocation Failure) [PSYoungGen: 60000K->96K(59392K)] 61747K->1843K(234496K), 0.0004940 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.672: [GC (Allocation Failure) [PSYoungGen: 58976K->96K(71168K)] 60723K->1843K(246272K), 0.0005421 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.722: [GC (Allocation Failure) [PSYoungGen: 70752K->96K(69632K)] 72499K->1843K(244736K), 0.0004777 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.781: [GC (Allocation Failure) [PSYoungGen: 69216K->64K(83456K)] 70963K->1811K(258560K), 0.0009824 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
10.841: [GC (Allocation Failure) [PSYoungGen: 83008K->96K(100352K)] 84755K->1843K(275456K), 0.0022209 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
10.914: [GC (Allocation Failure) [PSYoungGen: 99936K->96K(97792K)] 101683K->1843K(272896K), 0.0004999 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.984: [GC (Allocation Failure) [PSYoungGen: 97376K->96K(95232K)] 99123K->1843K(270336K), 0.0005388 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.052: [GC (Allocation Failure) [PSYoungGen: 94816K->96K(92672K)] 96563K->1843K(267776K), 0.0005083 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.118: [GC (Allocation Failure) [PSYoungGen: 92256K->96K(90112K)] 94003K->1843K(265216K), 0.0005044 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.181: [GC (Allocation Failure) [PSYoungGen: 89696K->64K(87552K)] 91443K->1811K(262656K), 0.0005030 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.242: [GC (Allocation Failure) [PSYoungGen: 87104K->64K(85504K)] 88851K->1811K(260608K), 0.0004977 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.302: [GC (Allocation Failure) [PSYoungGen: 85056K->96K(83456K)] 86803K->1843K(258560K), 0.0004994 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.361: [GC (Allocation Failure) [PSYoungGen: 83040K->96K(81408K)] 84787K->1843K(256512K), 0.0004974 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.418: [GC (Allocation Failure) [PSYoungGen: 80992K->64K(79360K)] 82739K->1811K(254464K), 0.0004880 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.473: [GC (Allocation Failure) [PSYoungGen: 78912K->64K(77312K)] 80659K->1811K(252416K), 0.0004988 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.527: [GC (Allocation Failure) [PSYoungGen: 76864K->32K(75264K)] 78611K->1779K(250368K), 0.0006291 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.582: [GC (Allocation Failure) [PSYoungGen: 74784K->96K(73728K)] 76531K->1843K(248832K), 0.0005220 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.634: [GC (Allocation Failure) [PSYoungGen: 73312K->64K(72192K)] 75059K->1811K(247296K), 0.0004900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.685: [GC (Allocation Failure) [PSYoungGen: 71744K->64K(70656K)] 73491K->1811K(245760K), 0.0004975 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.734: [GC (Allocation Failure) [PSYoungGen: 70208K->96K(69120K)] 71955K->1843K(244224K), 0.0005001 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
11.784: [GC (Allocation Failure) [PSYoungGen: 68704K->64K(67584K)] 70451K->1811K(242688K), 0.0005129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.832: [GC (Allocation Failure) [PSYoungGen: 67136K->32K(66048K)] 68883K->1779K(241152K), 0.0004957 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.878: [GC (Allocation Failure) [PSYoungGen: 65568K->64K(64512K)] 67315K->1811K(239616K), 0.0004795 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.923: [GC (Allocation Failure) [PSYoungGen: 64064K->64K(62976K)] 65811K->1811K(238080K), 0.0004538 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.967: [GC (Allocation Failure) [PSYoungGen: 62528K->0K(61952K)] 64275K->1747K(237056K), 0.0004679 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.011: [GC (Allocation Failure) [PSYoungGen: 61440K->64K(60928K)] 63187K->1811K(236032K), 0.0004735 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.053: [GC (Allocation Failure) [PSYoungGen: 60480K->64K(59904K)] 62227K->1811K(235008K), 0.0004795 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.097: [GC (Allocation Failure) [PSYoungGen: 59456K->64K(58880K)] 61203K->1811K(233984K), 0.0005039 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.138: [GC (Allocation Failure) [PSYoungGen: 58432K->64K(57856K)] 60179K->1811K(232960K), 0.0004931 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.179: [GC (Allocation Failure) [PSYoungGen: 57408K->64K(69632K)] 59155K->1811K(244736K), 0.0005000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.228: [GC (Allocation Failure) [PSYoungGen: 69184K->96K(68096K)] 70931K->1843K(243200K), 0.0004747 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.277: [GC (Allocation Failure) [PSYoungGen: 67680K->64K(66560K)] 69427K->1811K(241664K), 0.0004943 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.323: [GC (Allocation Failure) [PSYoungGen: 66112K->64K(65024K)] 67859K->1811K(240128K), 0.0004788 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.368: [GC (Allocation Failure) [PSYoungGen: 64576K->64K(63488K)] 66323K->1811K(238592K), 0.0004899 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.413: [GC (Allocation Failure) [PSYoungGen: 63040K->96K(61952K)] 64787K->1843K(237056K), 0.0004663 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.456: [GC (Allocation Failure) [PSYoungGen: 61536K->96K(60928K)] 63283K->1843K(236032K), 0.0004685 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.499: [GC (Allocation Failure) [PSYoungGen: 60512K->96K(59904K)] 62259K->1843K(235008K), 0.0004878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.541: [GC (Allocation Failure) [PSYoungGen: 59488K->96K(58880K)] 61235K->1843K(233984K), 0.0004758 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.584: [GC (Allocation Failure) [PSYoungGen: 58464K->32K(70656K)] 60211K->1779K(245760K), 0.0005191 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.634: [GC (Allocation Failure) [PSYoungGen: 70176K->96K(69120K)] 71923K->1843K(244224K), 0.0004916 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.683: [GC (Allocation Failure) [PSYoungGen: 68704K->64K(67584K)] 70451K->1811K(242688K), 0.0004982 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.730: [GC (Allocation Failure) [PSYoungGen: 67136K->96K(66048K)] 68883K->1843K(241152K), 0.0004655 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.778: [GC (Allocation Failure) [PSYoungGen: 65632K->32K(64512K)] 67379K->1779K(239616K), 0.0004954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.824: [GC (Allocation Failure) [PSYoungGen: 64032K->64K(77312K)] 65779K->1811K(252416K), 0.0009601 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.879: [GC (Allocation Failure) [PSYoungGen: 76864K->64K(92672K)] 78611K->1811K(267776K), 0.0004708 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.951: [GC (Allocation Failure) [PSYoungGen: 92224K->96K(90112K)] 93971K->1843K(265216K), 0.0004988 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.017: [GC (Allocation Failure) [PSYoungGen: 89696K->96K(87552K)] 91443K->1843K(262656K), 0.0005086 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.084: [GC (Allocation Failure) [PSYoungGen: 87136K->96K(85504K)] 88883K->1843K(260608K), 0.0005876 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.147: [GC (Allocation Failure) [PSYoungGen: 85088K->64K(83456K)] 86835K->1811K(258560K), 0.0007698 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.213: [GC (Allocation Failure) [PSYoungGen: 83008K->96K(81408K)] 84755K->1843K(256512K), 0.0005014 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.274: [GC (Allocation Failure) [PSYoungGen: 80992K->96K(79360K)] 82739K->1843K(254464K), 0.0005117 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.334: [GC (Allocation Failure) [PSYoungGen: 78944K->96K(77312K)] 80691K->1843K(252416K), 0.0005365 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.395: [GC (Allocation Failure) [PSYoungGen: 76896K->96K(75264K)] 78643K->1843K(250368K), 0.0007281 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.457: [GC (Allocation Failure) [PSYoungGen: 74848K->96K(73728K)] 76595K->1843K(248832K), 0.0005207 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.512: [GC (Allocation Failure) [PSYoungGen: 73312K->96K(72192K)] 75059K->1843K(247296K), 0.0005164 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.565: [GC (Allocation Failure) [PSYoungGen: 71776K->96K(70656K)] 73523K->1843K(245760K), 0.0008677 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.618: [GC (Allocation Failure) [PSYoungGen: 70240K->64K(69120K)] 71987K->1811K(244224K), 0.0005187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.667: [GC (Allocation Failure) [PSYoungGen: 68672K->96K(67584K)] 70419K->1843K(242688K), 0.0005105 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.720: [GC (Allocation Failure) [PSYoungGen: 67168K->96K(66048K)] 68915K->1843K(241152K), 0.0004890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.772: [GC (Allocation Failure) [PSYoungGen: 65632K->64K(64512K)] 67379K->1811K(239616K), 0.0005694 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.817: [GC (Allocation Failure) [PSYoungGen: 64064K->64K(62976K)] 65811K->1811K(238080K), 0.0005124 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.862: [GC (Allocation Failure) [PSYoungGen: 62528K->96K(61952K)] 64275K->1843K(237056K), 0.0004795 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.905: [GC (Allocation Failure) [PSYoungGen: 61536K->64K(60928K)] 63283K->1811K(236032K), 0.0004700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.948: [GC (Allocation Failure) [PSYoungGen: 60480K->96K(59904K)] 62227K->1843K(235008K), 0.0004939 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.993: [GC (Allocation Failure) [PSYoungGen: 59488K->64K(58880K)] 61235K->1811K(233984K), 0.0005020 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.035: [GC (Allocation Failure) [PSYoungGen: 58432K->32K(70656K)] 60179K->1779K(245760K), 0.0005117 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.086: [GC (Allocation Failure) [PSYoungGen: 70176K->96K(69120K)] 71923K->1843K(244224K), 0.0004965 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.135: [GC (Allocation Failure) [PSYoungGen: 68704K->32K(67584K)] 70451K->1779K(242688K), 0.0005297 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.183: [GC (Allocation Failure) [PSYoungGen: 67104K->64K(66048K)] 68851K->1811K(241152K), 0.0004896 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.229: [GC (Allocation Failure) [PSYoungGen: 65600K->32K(64512K)] 67347K->1779K(239616K), 0.0004736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.274: [GC (Allocation Failure) [PSYoungGen: 64032K->64K(62976K)] 65779K->1811K(238080K), 0.0004744 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
