OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(2312176k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 34346K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 52% used [0x000000076ab00000,0x000000076cc8abf8,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7657K, capacity 7997K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
797: [GC (Allocation Failure) [PSYoungGen: 133088K->2000K(141824K)] 133112K->2032K(316928K), 0.0021604 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
4.340: [GC (Allocation Failure) [PSYoungGen: 663648K->96K(634368K)] 665696K->2152K(809472K), 0.0006257 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.665: [GC (Allocation Failure) [PSYoungGen: 633952K->96K(609792K)] 636008K->2152K(784896K), 0.0005353 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.975: [GC (Allocation Failure) [PSYoungGen: 605280K->64K(578560K)] 607336K->2120K(753664K), 0.0006374 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.271: [GC (Allocation Failure) [PSYoungGen: 578112K->96K(556544K)] 580168K->2152K(731648K), 0.0005281 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.555: [GC (Allocation Failure) [PSYoungGen: 552544K->64K(528384K)] 554600K->2120K(703488K), 0.0006365 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.825: [GC (Allocation Failure) [PSYoungGen: 527936K->32K(508416K)] 529992K->2096K(683520K), 0.0005633 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.083: [GC (Allocation Failure) [PSYoungGen: 504864K->32K(483328K)] 506928K->2096K(658432K), 0.0006207 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.332: [GC (Allocation Failure) [PSYoungGen: 482848K->96K(465408K)] 484912K->2160K(640512K), 0.0005396 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
6.570: [GC (Allocation Failure) [PSYoungGen: 461920K->64K(442368K)] 463984K->2128K(617472K), 0.0011298 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.804: [GC (Allocation Failure) [PSYoungGen: 441920K->96K(425984K)] 443984K->2160K(601088K), 0.0005379 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.029: [GC (Allocation Failure) [PSYoungGen: 423008K->64K(405504K)] 425072K->2128K(580608K), 0.0005941 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.238: [GC (Allocation Failure) [PSYoungGen: 405056K->32K(390144K)] 407120K->2096K(565248K), 0.0005789 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.442: [GC (Allocation Failure) [PSYoungGen: 387616K->96K(371712K)] 389680K->2160K(546816K), 0.0006616 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
7.634: [GC (Allocation Failure) [PSYoungGen: 371296K->96K(358400K)] 373360K->2160K(533504K), 0.0005767 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.816: [GC (Allocation Failure) [PSYoungGen: 355936K->96K(341504K)] 358000K->2160K(516608K), 0.0005717 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.992: [GC (Allocation Failure) [PSYoungGen: 341088K->32K(329216K)] 343152K->2096K(504320K), 0.0005350 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.161: [GC (Allocation Failure) [PSYoungGen: 327200K->32K(314368K)] 329264K->2096K(489472K), 0.0005763 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.326: [GC (Allocation Failure) [PSYoungGen: 313888K->96K(303104K)] 315952K->2160K(478208K), 0.0005333 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.481: [GC (Allocation Failure) [PSYoungGen: 301152K->96K(289280K)] 303216K->2160K(464384K), 0.0006064 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.630: [GC (Allocation Failure) [PSYoungGen: 288864K->64K(279040K)] 290928K->2128K(454144K), 0.0005655 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
8.772: [GC (Allocation Failure) [PSYoungGen: 277568K->32K(267264K)] 279632K->2096K(442368K), 0.0006036 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.910: [GC (Allocation Failure) [PSYoungGen: 266784K->96K(258048K)] 268848K->2160K(433152K), 0.0005395 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.043: [GC (Allocation Failure) [PSYoungGen: 256608K->96K(247296K)] 258672K->2160K(422400K), 0.0005601 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
9.171: [GC (Allocation Failure) [PSYoungGen: 246880K->96K(238592K)] 248944K->2160K(413696K), 0.0005843 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.294: [GC (Allocation Failure) [PSYoungGen: 237152K->32K(228352K)] 239216K->2096K(403456K), 0.0005729 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.412: [GC (Allocation Failure) [PSYoungGen: 227872K->96K(220160K)] 229936K->2160K(395264K), 0.0005316 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.526: [GC (Allocation Failure) [PSYoungGen: 219232K->64K(211456K)] 221296K->2128K(386560K), 0.0010683 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.635: [GC (Allocation Failure) [PSYoungGen: 211008K->96K(204288K)] 213072K->2160K(379392K), 0.0005345 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.740: [GC (Allocation Failure) [PSYoungGen: 203360K->96K(196096K)] 205424K->2160K(371200K), 0.0006194 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.855: [GC (Allocation Failure) [PSYoungGen: 195680K->64K(189440K)] 197744K->2128K(364544K), 0.0005245 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.985: [GC (Allocation Failure) [PSYoungGen: 188480K->96K(182272K)] 190544K->2160K(357376K), 0.0007047 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.116: [GC (Allocation Failure) [PSYoungGen: 181856K->96K(176128K)] 183920K->2160K(351232K), 0.0006101 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.232: [GC (Allocation Failure) [PSYoungGen: 175200K->32K(169472K)] 177264K->2096K(344576K), 0.0007710 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
10.331: [GC (Allocation Failure) [PSYoungGen: 168992K->160K(163840K)] 171056K->2224K(338944K), 0.0006105 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.419: [GC (Allocation Failure) [PSYoungGen: 163488K->32K(158208K)] 165552K->2160K(333312K), 0.0006554 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.503: [GC (Allocation Failure) [PSYoungGen: 157728K->96K(153088K)] 159856K->2224K(328192K), 0.0005475 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.584: [GC (Allocation Failure) [PSYoungGen: 152672K->96K(147968K)] 154800K->2224K(323072K), 0.0005554 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.662: [GC (Allocation Failure) [PSYoungGen: 147552K->96K(143360K)] 149680K->2224K(318464K), 0.0005576 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.739: [GC (Allocation Failure) [PSYoungGen: 142944K->32K(138752K)] 145072K->2160K(313856K), 0.0005346 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.814: [GC (Allocation Failure) [PSYoungGen: 138272K->64K(134144K)] 140400K->2192K(309248K), 0.0005893 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.885: [GC (Allocation Failure) [PSYoungGen: 133696K->96K(130048K)] 135824K->2224K(305152K), 0.0005417 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.955: [GC (Allocation Failure) [PSYoungGen: 129632K->96K(125952K)] 131760K->2224K(301056K), 0.0005308 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.022: [GC (Allocation Failure) [PSYoungGen: 125536K->96K(121856K)] 127664K->2224K(296960K), 0.0005363 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.087: [GC (Allocation Failure) [PSYoungGen: 121440K->96K(118272K)] 123568K->2224K(293376K), 0.0005417 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.150: [GC (Allocation Failure) [PSYoungGen: 117856K->96K(114688K)] 119984K->2224K(289792K), 0.0005721 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.211: [GC (Allocation Failure) [PSYoungGen: 114272K->96K(111104K)] 116400K->2224K(286208K), 0.0005935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.270: [GC (Allocation Failure) [PSYoungGen: 110688K->96K(108032K)] 112816K->2224K(283136K), 0.0005267 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.329: [GC (Allocation Failure) [PSYoungGen: 107616K->96K(104960K)] 109744K->2224K(280064K), 0.0005555 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.385: [GC (Allocation Failure) [PSYoungGen: 104544K->64K(101888K)] 106672K->2192K(276992K), 0.0007283 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.439: [GC (Allocation Failure) [PSYoungGen: 101440K->96K(98816K)] 103568K->2224K(273920K), 0.0005349 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.492: [GC (Allocation Failure) [PSYoungGen: 98400K->96K(96256K)] 100528K->2224K(271360K), 0.0005308 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.542: [GC (Allocation Failure) [PSYoungGen: 95840K->96K(93696K)] 97968K->2232K(268800K), 0.0005973 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.594: [GC (Allocation Failure) [PSYoungGen: 93280K->64K(112640K)] 95416K->2200K(287744K), 0.0011082 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.654: [GC (Allocation Failure) [PSYoungGen: 112192K->32K(135168K)] 114328K->2168K(310272K), 0.0021551 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.728: [GC (Allocation Failure) [PSYoungGen: 134688K->64K(162304K)] 136824K->2200K(337408K), 0.0005583 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.815: [GC (Allocation Failure) [PSYoungGen: 161856K->96K(156672K)] 163992K->2232K(331776K), 0.0005577 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.898: [GC (Allocation Failure) [PSYoungGen: 156256K->64K(151552K)] 158392K->2200K(326656K), 0.0005383 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.978: [GC (Allocation Failure) [PSYoungGen: 151104K->96K(146432K)] 153240K->2232K(321536K), 0.0005885 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.056: [GC (Allocation Failure) [PSYoungGen: 146016K->32K(141824K)] 148152K->2168K(316928K), 0.0005485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.133: [GC (Allocation Failure) [PSYoungGen: 141344K->64K(137216K)] 143480K->2200K(312320K), 0.0005758 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
12.205: [GC (Allocation Failure) [PSYoungGen: 136768K->96K(132608K)] 138904K->2232K(307712K), 0.0006001 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.275: [GC (Allocation Failure) [PSYoungGen: 132192K->96K(128512K)] 134328K->2232K(303616K), 0.0005575 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.345: [GC (Allocation Failure) [PSYoungGen: 128096K->96K(124416K)] 130232K->2232K(299520K), 0.0005515 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.411: [GC (Allocation Failure) [PSYoungGen: 124000K->32K(120832K)] 126136K->2168K(295936K), 0.0005215 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.475: [GC (Allocation Failure) [PSYoungGen: 120352K->96K(117248K)] 122488K->2232K(292352K), 0.0005390 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.537: [GC (Allocation Failure) [PSYoungGen: 116832K->96K(113664K)] 118968K->2232K(288768K), 0.0005478 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.597: [GC (Allocation Failure) [PSYoungGen: 113248K->0K(110592K)] 115384K->2136K(285696K), 0.0005477 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.655: [GC (Allocation Failure) [PSYoungGen: 110080K->96K(107520K)] 112216K->2232K(282624K), 0.0005312 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.712: [GC (Allocation Failure) [PSYoungGen: 107104K->96K(104448K)] 109240K->2232K(279552K), 0.0005227 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.767: [GC (Allocation Failure) [PSYoungGen: 104032K->96K(101376K)] 106168K->2232K(276480K), 0.0005518 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.821: [GC (Allocation Failure) [PSYoungGen: 100960K->96K(98816K)] 103096K->2232K(273920K), 0.0005274 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.875: [GC (Allocation Failure) [PSYoungGen: 98400K->64K(96256K)] 100536K->2200K(271360K), 0.0005797 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.926: [GC (Allocation Failure) [PSYoungGen: 95808K->96K(93696K)] 97944K->2232K(268800K), 0.0005474 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.976: [GC (Allocation Failure) [PSYoungGen: 93280K->64K(91136K)] 95416K->2200K(266240K), 0.0005512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.024: [GC (Allocation Failure) [PSYoungGen: 90688K->64K(88576K)] 92824K->2200K(263680K), 0.0004971 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.071: [GC (Allocation Failure) [PSYoungGen: 88128K->96K(804352K)] 90264K->2232K(979456K), 0.0005393 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.486: [GC (Allocation Failure) [PSYoungGen: 803936K->96K(767488K)] 806072K->2232K(942592K), 0.0005840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.879: [GC (Allocation Failure) [PSYoungGen: 767072K->96K(732160K)] 769208K->2232K(907264K), 0.0005287 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.253: [GC (Allocation Failure) [PSYoungGen: 731744K->96K(698880K)] 733880K->2232K(873984K), 0.0005426 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.613: [GC (Allocation Failure) [PSYoungGen: 698464K->64K(667136K)] 700600K->2200K(842240K), 0.0005733 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.953: [GC (Allocation Failure) [PSYoungGen: 666688K->96K(636928K)] 668824K->2232K(812032K), 0.0005265 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.274: [GC (Allocation Failure) [PSYoungGen: 636512K->96K(608256K)] 638648K->2232K(783360K), 0.0005395 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.578: [GC (Allocation Failure) [PSYoungGen: 607840K->96K(581120K)] 609976K->2232K(756224K), 0.0005352 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.866: [GC (Allocation Failure) [PSYoungGen: 580704K->64K(555520K)] 582840K->2200K(730624K), 0.0005331 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.151: [GC (Allocation Failure) [PSYoungGen: 555072K->96K(530944K)] 557208K->2232K(706048K), 0.0005597 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.423: [GC (Allocation Failure) [PSYoungGen: 530528K->96K(507392K)] 532664K->2232K(682496K), 0.0005417 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
16.683: [GC (Allocation Failure) [PSYoungGen: 506976K->96K(485376K)] 509112K->2232K(660480K), 0.0005345 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.931: [GC (Allocation Failure) [PSYoungGen: 484960K->96K(464384K)] 487096K->2232K(639488K), 0.0005376 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.173: [GC (Allocation Failure) [PSYoungGen: 463968K->64K(444416K)] 466104K->2200K(619520K), 0.0005387 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.401: [GC (Allocation Failure) [PSYoungGen: 443968K->96K(425472K)] 446104K->2232K(600576K), 0.0005483 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.620: [GC (Allocation Failure) [PSYoungGen: 425056K->96K(407552K)] 427192K->2232K(582656K), 0.0005458 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.828: [GC (Allocation Failure) [PSYoungGen: 407136K->96K(390144K)] 409272K->2232K(565248K), 0.0005450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.029: [GC (Allocation Failure) [PSYoungGen: 389728K->96K(373760K)] 391864K->2232K(548864K), 0.0007780 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.222: [GC (Allocation Failure) [PSYoungGen: 373344K->64K(357888K)] 375480K->2200K(532992K), 0.0006394 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.410: [GC (Allocation Failure) [PSYoungGen: 357440K->96K(343040K)] 359576K->2232K(518144K), 0.0005736 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
18.598: [GC (Allocation Failure) [PSYoungGen: 342624K->96K(328704K)] 344760K->2232K(503808K), 0.0005688 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.776: [GC (Allocation Failure) [PSYoungGen: 328288K->96K(315392K)] 330424K->2232K(490496K), 0.0006135 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.948: [GC (Allocation Failure) [PSYoungGen: 314976K->96K(302592K)] 317112K->2232K(477696K), 0.0006106 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.113: [GC (Allocation Failure) [PSYoungGen: 302176K->96K(290304K)] 304312K->2232K(465408K), 0.0005685 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.272: [GC (Allocation Failure) [PSYoungGen: 289888K->64K(278528K)] 292024K->2200K(453632K), 0.0005782 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.423: [GC (Allocation Failure) [PSYoungGen: 278080K->96K(267776K)] 280216K->2232K(442880K), 0.0005728 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.570: [GC (Allocation Failure) [PSYoungGen: 267360K->96K(257536K)] 269496K->2232K(432640K), 0.0005629 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.709: [GC (Allocation Failure) [PSYoungGen: 257120K->96K(247296K)] 259256K->2232K(422400K), 0.0005687 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.845: [GC (Allocation Failure) [PSYoungGen: 246880K->96K(237568K)] 249016K->2232K(412672K), 0.0005641 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.974: [GC (Allocation Failure) [PSYoungGen: 237152K->32K(228352K)] 239288K->2168K(403456K), 0.0005333 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.096: [GC (Allocation Failure) [PSYoungGen: 227872K->96K(219648K)] 230008K->2232K(394752K), 0.0005670 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.213: [GC (Allocation Failure) [PSYoungGen: 219232K->96K(211456K)] 221368K->2232K(386560K), 0.0005529 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.330: [GC (Allocation Failure) [PSYoungGen: 211040K->64K(203776K)] 213176K->2200K(378880K), 0.0015227 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.439: [GC (Allocation Failure) [PSYoungGen: 203328K->96K(196096K)] 205464K->2256K(371200K), 0.0005913 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.545: [GC (Allocation Failure) [PSYoungGen: 195680K->64K(188928K)] 197840K->2224K(364032K), 0.0005598 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.645: [GC (Allocation Failure) [PSYoungGen: 188480K->96K(182272K)] 190640K->2256K(357376K), 0.0005485 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.743: [GC (Allocation Failure) [PSYoungGen: 181856K->96K(175616K)] 184016K->2256K(350720K), 0.0005565 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
20.838: [GC (Allocation Failure) [PSYoungGen: 175200K->96K(169472K)] 177360K->2256K(344576K), 0.0005528 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.927: [GC (Allocation Failure) [PSYoungGen: 169056K->96K(163840K)] 171216K->2256K(338944K), 0.0005644 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.014: [GC (Allocation Failure) [PSYoungGen: 163424K->32K(158208K)] 165584K->2192K(333312K), 0.0005527 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.098: [GC (Allocation Failure) [PSYoungGen: 157728K->96K(153088K)] 159888K->2256K(328192K), 0.0005778 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.181: [GC (Allocation Failure) [PSYoungGen: 152672K->96K(147968K)] 154832K->2256K(323072K), 0.0005541 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.260: [GC (Allocation Failure) [PSYoungGen: 147552K->96K(143360K)] 149712K->2256K(318464K), 0.0005557 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.336: [GC (Allocation Failure) [PSYoungGen: 142944K->96K(138752K)] 145104K->2256K(313856K), 0.0006011 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.410: [GC (Allocation Failure) [PSYoungGen: 138336K->64K(134144K)] 140496K->2224K(309248K), 0.0005640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.480: [GC (Allocation Failure) [PSYoungGen: 133696K->96K(130048K)] 135856K->2256K(305152K), 0.0005687 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.549: [GC (Allocation Failure) [PSYoungGen: 129632K->96K(125952K)] 131792K->2256K(301056K), 0.0005420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.616: [GC (Allocation Failure) [PSYoungGen: 125536K->96K(121856K)] 127696K->2256K(296960K), 0.0005415 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.680: [GC (Allocation Failure) [PSYoungGen: 121440K->96K(118272K)] 123600K->2256K(293376K), 0.0005445 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.743: [GC (Allocation Failure) [PSYoungGen: 117856K->64K(114688K)] 120016K->2224K(289792K), 0.0005614 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
21.804: [GC (Allocation Failure) [PSYoungGen: 114240K->96K(111104K)] 116400K->2256K(286208K), 0.0005413 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.864: [GC (Allocation Failure) [PSYoungGen: 110688K->32K(108032K)] 112848K->2192K(283136K), 0.0005700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.921: [GC (Allocation Failure) [PSYoungGen: 107552K->96K(104960K)] 109712K->2256K(280064K), 0.0005411 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.977: [GC (Allocation Failure) [PSYoungGen: 104544K->96K(101888K)] 106704K->2256K(276992K), 0.0005542 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.032: [GC (Allocation Failure) [PSYoungGen: 101472K->64K(98816K)] 103632K->2224K(273920K), 0.0005929 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
