OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1673500k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 35656K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 54% used [0x000000076ab00000,0x000000076cdd22e8,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7652K, capacity 8001K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
29: [GC (Allocation Failure) [PSYoungGen: 132800K->1712K(141824K)] 132824K->1744K(316928K), 0.0018382 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.947: [GC (Allocation Failure) [PSYoungGen: 663616K->96K(634368K)] 665320K->1800K(809472K), 0.0006017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.235: [GC (Allocation Failure) [PSYoungGen: 633952K->64K(609280K)] 635656K->1768K(784384K), 0.0006842 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.504: [GC (Allocation Failure) [PSYoungGen: 605248K->96K(578560K)] 606952K->1800K(753664K), 0.0010632 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.760: [GC (Allocation Failure) [PSYoungGen: 578144K->64K(556032K)] 579848K->1768K(731136K), 0.0005129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.007: [GC (Allocation Failure) [PSYoungGen: 552512K->96K(528384K)] 554216K->1808K(703488K), 0.0005880 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
5.240: [GC (Allocation Failure) [PSYoungGen: 527968K->64K(507904K)] 529680K->1776K(683008K), 0.0005136 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.469: [GC (Allocation Failure) [PSYoungGen: 504896K->96K(483328K)] 506608K->1808K(658432K), 0.0005811 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
5.687: [GC (Allocation Failure) [PSYoungGen: 482912K->64K(464896K)] 484624K->1776K(640000K), 0.0005474 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.898: [GC (Allocation Failure) [PSYoungGen: 461888K->64K(442368K)] 463600K->1776K(617472K), 0.0005605 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.097: [GC (Allocation Failure) [PSYoungGen: 441920K->96K(425472K)] 443632K->1808K(600576K), 0.0005209 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.283: [GC (Allocation Failure) [PSYoungGen: 423008K->96K(405504K)] 424720K->1808K(580608K), 0.0005700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.464: [GC (Allocation Failure) [PSYoungGen: 405088K->64K(390144K)] 406800K->1776K(565248K), 0.0005021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.635: [GC (Allocation Failure) [PSYoungGen: 387648K->96K(371712K)] 389360K->1808K(546816K), 0.0005468 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.797: [GC (Allocation Failure) [PSYoungGen: 371296K->96K(357888K)] 373008K->1808K(532992K), 0.0004971 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.954: [GC (Allocation Failure) [PSYoungGen: 355936K->64K(341504K)] 357648K->1776K(516608K), 0.0005513 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.105: [GC (Allocation Failure) [PSYoungGen: 341056K->64K(329216K)] 342768K->1776K(504320K), 0.0005024 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.248: [GC (Allocation Failure) [PSYoungGen: 327232K->96K(314368K)] 328944K->1808K(489472K), 0.0005329 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.388: [GC (Allocation Failure) [PSYoungGen: 313952K->64K(302592K)] 315664K->1776K(477696K), 0.0005030 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.527: [GC (Allocation Failure) [PSYoungGen: 301120K->96K(289280K)] 302832K->1808K(464384K), 0.0005606 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.657: [GC (Allocation Failure) [PSYoungGen: 288864K->64K(279040K)] 290576K->1776K(454144K), 0.0004984 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.780: [GC (Allocation Failure) [PSYoungGen: 277568K->96K(267264K)] 279280K->1808K(442368K), 0.0005278 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.908: [GC (Allocation Failure) [PSYoungGen: 266848K->64K(258048K)] 268560K->1776K(433152K), 0.0005301 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.027: [GC (Allocation Failure) [PSYoungGen: 256576K->96K(247296K)] 258288K->1808K(422400K), 0.0005586 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.143: [GC (Allocation Failure) [PSYoungGen: 246880K->64K(238080K)] 248592K->1776K(413184K), 0.0005869 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.253: [GC (Allocation Failure) [PSYoungGen: 237120K->64K(228352K)] 238832K->1776K(403456K), 0.0005598 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.358: [GC (Allocation Failure) [PSYoungGen: 227904K->64K(220160K)] 229616K->1776K(395264K), 0.0007959 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.460: [GC (Allocation Failure) [PSYoungGen: 219200K->96K(211456K)] 220912K->1808K(386560K), 0.0005323 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.558: [GC (Allocation Failure) [PSYoungGen: 211040K->96K(204288K)] 212752K->1808K(379392K), 0.0005128 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.651: [GC (Allocation Failure) [PSYoungGen: 203360K->64K(196096K)] 205072K->1776K(371200K), 0.0005289 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.743: [GC (Allocation Failure) [PSYoungGen: 195648K->96K(189440K)] 197360K->1808K(364544K), 0.0005181 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.829: [GC (Allocation Failure) [PSYoungGen: 188512K->32K(182272K)] 190224K->1744K(357376K), 0.0007341 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
8.914: [GC (Allocation Failure) [PSYoungGen: 181792K->64K(175616K)] 183504K->1776K(350720K), 0.0004950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.992: [GC (Allocation Failure) [PSYoungGen: 175168K->96K(169472K)] 176880K->1808K(344576K), 0.0005001 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.066: [GC (Allocation Failure) [PSYoungGen: 169056K->64K(163840K)] 170768K->1776K(338944K), 0.0005007 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.140: [GC (Allocation Failure) [PSYoungGen: 163392K->64K(158208K)] 165104K->1776K(333312K), 0.0005395 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.211: [GC (Allocation Failure) [PSYoungGen: 157760K->96K(153088K)] 159472K->1808K(328192K), 0.0005380 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.281: [GC (Allocation Failure) [PSYoungGen: 152672K->64K(147968K)] 154384K->1776K(323072K), 0.0005221 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.345: [GC (Allocation Failure) [PSYoungGen: 147520K->64K(143360K)] 149232K->1776K(318464K), 0.0005090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.410: [GC (Allocation Failure) [PSYoungGen: 142912K->64K(138752K)] 144624K->1776K(313856K), 0.0004972 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.474: [GC (Allocation Failure) [PSYoungGen: 138304K->64K(134144K)] 140016K->1776K(309248K), 0.0005077 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.537: [GC (Allocation Failure) [PSYoungGen: 133696K->96K(130048K)] 135408K->1808K(305152K), 0.0005231 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.593: [GC (Allocation Failure) [PSYoungGen: 129632K->96K(125952K)] 131344K->1808K(301056K), 0.0005420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.650: [GC (Allocation Failure) [PSYoungGen: 125536K->64K(121856K)] 127248K->1784K(296960K), 0.0005189 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.706: [GC (Allocation Failure) [PSYoungGen: 121408K->96K(118272K)] 123128K->1816K(293376K), 0.0005777 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.760: [GC (Allocation Failure) [PSYoungGen: 117856K->96K(114688K)] 119576K->1816K(289792K), 0.0004992 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.810: [GC (Allocation Failure) [PSYoungGen: 114272K->96K(111104K)] 115992K->1816K(286208K), 0.0005075 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.859: [GC (Allocation Failure) [PSYoungGen: 110688K->64K(108032K)] 112408K->1784K(283136K), 0.0005316 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.910: [GC (Allocation Failure) [PSYoungGen: 107584K->96K(104960K)] 109304K->1816K(280064K), 0.0004974 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.958: [GC (Allocation Failure) [PSYoungGen: 104544K->96K(101888K)] 106264K->1816K(276992K), 0.0005083 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.004: [GC (Allocation Failure) [PSYoungGen: 101472K->96K(98816K)] 103192K->1816K(273920K), 0.0004933 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.050: [GC (Allocation Failure) [PSYoungGen: 98400K->96K(96256K)] 100120K->1816K(271360K), 0.0005294 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.096: [GC (Allocation Failure) [PSYoungGen: 95840K->96K(93696K)] 97560K->1816K(268800K), 0.0005328 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
10.139: [GC (Allocation Failure) [PSYoungGen: 93280K->96K(112640K)] 95000K->1816K(287744K), 0.0005451 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.192: [GC (Allocation Failure) [PSYoungGen: 112224K->96K(109568K)] 113944K->1816K(284672K), 0.0005252 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.246: [GC (Allocation Failure) [PSYoungGen: 109152K->96K(106496K)] 110872K->1816K(281600K), 0.0005969 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
10.304: [GC (Allocation Failure) [PSYoungGen: 106080K->160K(103424K)] 107800K->1888K(278528K), 0.0005157 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.352: [GC (Allocation Failure) [PSYoungGen: 103072K->32K(100352K)] 104800K->1832K(275456K), 0.0005256 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.400: [GC (Allocation Failure) [PSYoungGen: 99872K->96K(97792K)] 101672K->1896K(272896K), 0.0005669 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.448: [GC (Allocation Failure) [PSYoungGen: 97376K->64K(95232K)] 99176K->1864K(270336K), 0.0005072 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.493: [GC (Allocation Failure) [PSYoungGen: 94784K->64K(92672K)] 96584K->1864K(267776K), 0.0005260 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.538: [GC (Allocation Failure) [PSYoungGen: 92224K->96K(90112K)] 94024K->1896K(265216K), 0.0004955 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.581: [GC (Allocation Failure) [PSYoungGen: 89696K->96K(108032K)] 91496K->1896K(283136K), 0.0005182 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.632: [GC (Allocation Failure) [PSYoungGen: 107616K->96K(129536K)] 109416K->1896K(304640K), 0.0006163 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.690: [GC (Allocation Failure) [PSYoungGen: 129120K->96K(125440K)] 130920K->1896K(300544K), 0.0004896 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.746: [GC (Allocation Failure) [PSYoungGen: 125024K->64K(121344K)] 126824K->1864K(296448K), 0.0005037 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
10.801: [GC (Allocation Failure) [PSYoungGen: 120896K->96K(117760K)] 122696K->1896K(292864K), 0.0004977 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.852: [GC (Allocation Failure) [PSYoungGen: 117344K->96K(114176K)] 119144K->1896K(289280K), 0.0005070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.904: [GC (Allocation Failure) [PSYoungGen: 113760K->96K(110592K)] 115560K->1896K(285696K), 0.0004963 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.955: [GC (Allocation Failure) [PSYoungGen: 110176K->96K(107520K)] 111976K->1896K(282624K), 0.0005077 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.002: [GC (Allocation Failure) [PSYoungGen: 107104K->96K(104448K)] 108904K->1896K(279552K), 0.0004911 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.048: [GC (Allocation Failure) [PSYoungGen: 104031K->32K(101376K)] 105831K->1832K(276480K), 0.0004912 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.093: [GC (Allocation Failure) [PSYoungGen: 100896K->96K(98816K)] 102696K->1896K(273920K), 0.0004688 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.136: [GC (Allocation Failure) [PSYoungGen: 98400K->64K(96256K)] 100200K->1864K(271360K), 0.0004929 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.178: [GC (Allocation Failure) [PSYoungGen: 95808K->64K(93696K)] 97608K->1864K(268800K), 0.0004736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.219: [GC (Allocation Failure) [PSYoungGen: 93248K->96K(112640K)] 95048K->1896K(287744K), 0.0005112 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.270: [GC (Allocation Failure) [PSYoungGen: 112224K->32K(109568K)] 114024K->1832K(284672K), 0.0005295 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.318: [GC (Allocation Failure) [PSYoungGen: 109088K->96K(106496K)] 110888K->1896K(281600K), 0.0004962 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.365: [GC (Allocation Failure) [PSYoungGen: 106080K->64K(103424K)] 107880K->1864K(278528K), 0.0004912 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.410: [GC (Allocation Failure) [PSYoungGen: 102976K->96K(100352K)] 104776K->1896K(275456K), 0.0004701 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.456: [GC (Allocation Failure) [PSYoungGen: 99936K->128K(97792K)] 101736K->1928K(272896K), 0.0005137 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.499: [GC (Allocation Failure) [PSYoungGen: 97408K->64K(95232K)] 99208K->1864K(270336K), 0.0004985 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.547: [GC (Allocation Failure) [PSYoungGen: 94784K->32K(92672K)] 96584K->1832K(267776K), 0.0005172 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.588: [GC (Allocation Failure) [PSYoungGen: 92192K->96K(111104K)] 93992K->1896K(286208K), 0.0004968 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.638: [GC (Allocation Failure) [PSYoungGen: 110688K->96K(108032K)] 112488K->1896K(283136K), 0.0005023 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.688: [GC (Allocation Failure) [PSYoungGen: 107616K->96K(104960K)] 109416K->1896K(280064K), 0.0005058 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.734: [GC (Allocation Failure) [PSYoungGen: 104544K->96K(101888K)] 106344K->1896K(276992K), 0.0004920 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.780: [GC (Allocation Failure) [PSYoungGen: 101472K->96K(98816K)] 103272K->1896K(273920K), 0.0005222 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.823: [GC (Allocation Failure) [PSYoungGen: 98400K->96K(96256K)] 100200K->1896K(271360K), 0.0004756 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.865: [GC (Allocation Failure) [PSYoungGen: 95840K->96K(115712K)] 97640K->1896K(290816K), 0.0005138 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.916: [GC (Allocation Failure) [PSYoungGen: 115296K->32K(138752K)] 117096K->1832K(313856K), 0.0005237 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.978: [GC (Allocation Failure) [PSYoungGen: 138272K->96K(134144K)] 140072K->1896K(309248K), 0.0005141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.037: [GC (Allocation Failure) [PSYoungGen: 133728K->96K(130048K)] 135528K->1896K(305152K), 0.0004775 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.094: [GC (Allocation Failure) [PSYoungGen: 129632K->96K(125952K)] 131432K->1896K(301056K), 0.0004726 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.149: [GC (Allocation Failure) [PSYoungGen: 125536K->64K(121856K)] 127336K->1864K(296960K), 0.0004997 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.202: [GC (Allocation Failure) [PSYoungGen: 121408K->64K(118272K)] 123208K->1864K(293376K), 0.0004811 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.254: [GC (Allocation Failure) [PSYoungGen: 117824K->96K(114688K)] 119624K->1896K(289792K), 0.0005176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.304: [GC (Allocation Failure) [PSYoungGen: 114272K->96K(111104K)] 116072K->1896K(286208K), 0.0005048 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.354: [GC (Allocation Failure) [PSYoungGen: 110688K->96K(108032K)] 112488K->1896K(283136K), 0.0004969 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.401: [GC (Allocation Failure) [PSYoungGen: 107616K->64K(104960K)] 109416K->1864K(280064K), 0.0004893 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.448: [GC (Allocation Failure) [PSYoungGen: 104512K->96K(101888K)] 106312K->1896K(276992K), 0.0006706 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.494: [GC (Allocation Failure) [PSYoungGen: 101472K->64K(98816K)] 103272K->1864K(273920K), 0.0005287 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.537: [GC (Allocation Failure) [PSYoungGen: 98368K->96K(118784K)] 100168K->1896K(293888K), 0.0004877 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.589: [GC (Allocation Failure) [PSYoungGen: 118368K->32K(115200K)] 120168K->1832K(290304K), 0.0004758 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.641: [GC (Allocation Failure) [PSYoungGen: 114720K->96K(111616K)] 116520K->1896K(286720K), 0.0004972 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.691: [GC (Allocation Failure) [PSYoungGen: 111200K->96K(108544K)] 113000K->1896K(283648K), 0.0005178 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.739: [GC (Allocation Failure) [PSYoungGen: 108128K->96K(105472K)] 109928K->1896K(280576K), 0.0005612 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.786: [GC (Allocation Failure) [PSYoungGen: 105056K->96K(102400K)] 106856K->1896K(277504K), 0.0004811 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
12.831: [GC (Allocation Failure) [PSYoungGen: 101984K->96K(99328K)] 103784K->1896K(274432K), 0.0004940 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.876: [GC (Allocation Failure) [PSYoungGen: 98912K->64K(96768K)] 100712K->1864K(271872K), 0.0004809 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.918: [GC (Allocation Failure) [PSYoungGen: 96320K->64K(94208K)] 98120K->1864K(269312K), 0.0004706 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.959: [GC (Allocation Failure) [PSYoungGen: 93760K->96K(113152K)] 95560K->1896K(288256K), 0.0006127 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.012: [GC (Allocation Failure) [PSYoungGen: 112736K->96K(135680K)] 114536K->1896K(310784K), 0.0005443 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.071: [GC (Allocation Failure) [PSYoungGen: 135264K->96K(131584K)] 137064K->1896K(306688K), 0.0004776 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
13.128: [GC (Allocation Failure) [PSYoungGen: 131168K->96K(127488K)] 132968K->1896K(302592K), 0.0004845 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.185: [GC (Allocation Failure) [PSYoungGen: 127072K->64K(123392K)] 128872K->1864K(298496K), 0.0004965 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.239: [GC (Allocation Failure) [PSYoungGen: 122944K->64K(119808K)] 124744K->1864K(294912K), 0.0005165 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.292: [GC (Allocation Failure) [PSYoungGen: 119360K->96K(116224K)] 121160K->1896K(291328K), 0.0004940 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.342: [GC (Allocation Failure) [PSYoungGen: 115808K->96K(112640K)] 117608K->1896K(287744K), 0.0004788 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.393: [GC (Allocation Failure) [PSYoungGen: 112224K->96K(109568K)] 114024K->1896K(284672K), 0.0005208 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.442: [GC (Allocation Failure) [PSYoungGen: 109152K->96K(106496K)] 110952K->1896K(281600K), 0.0005079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.492: [GC (Allocation Failure) [PSYoungGen: 106080K->96K(103424K)] 107880K->1896K(278528K), 0.0005221 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.537: [GC (Allocation Failure) [PSYoungGen: 103008K->64K(100352K)] 104808K->1864K(275456K), 0.0004788 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.581: [GC (Allocation Failure) [PSYoungGen: 99904K->64K(97792K)] 101704K->1864K(272896K), 0.0004841 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.625: [GC (Allocation Failure) [PSYoungGen: 97344K->96K(95232K)] 99144K->1896K(270336K), 0.0005018 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.667: [GC (Allocation Failure) [PSYoungGen: 94816K->96K(92672K)] 96616K->1896K(267776K), 0.0004996 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.707: [GC (Allocation Failure) [PSYoungGen: 92256K->64K(111104K)] 94056K->1864K(286208K), 0.0004794 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.757: [GC (Allocation Failure) [PSYoungGen: 110656K->64K(108032K)] 112456K->1864K(283136K), 0.0005257 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.804: [GC (Allocation Failure) [PSYoungGen: 107584K->96K(104960K)] 109384K->1896K(280064K), 0.0005017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.850: [GC (Allocation Failure) [PSYoungGen: 104544K->96K(101888K)] 106344K->1896K(276992K), 0.0004782 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.894: [GC (Allocation Failure) [PSYoungGen: 101472K->96K(122368K)] 103272K->1896K(297472K), 0.0005708 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
