OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(800588k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 34346K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 52% used [0x000000076ab00000,0x000000076cc8a870,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7651K, capacity 8001K, committed 8192K, reserved 1056768K
  class space    used 853K, capacity 948K, committed 1024K, reserved 1048576K
.775: [GC (Allocation Failure) [PSYoungGen: 133088K->2000K(141824K)] 133104K->2024K(316928K), 0.0020652 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.348: [GC (Allocation Failure) [PSYoungGen: 110176K->64K(107520K)] 112216K->2104K(282624K), 0.0005304 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.422: [GC (Allocation Failure) [PSYoungGen: 107072K->96K(104448K)] 109112K->2136K(279552K), 0.0005047 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.494: [GC (Allocation Failure) [PSYoungGen: 104032K->64K(101376K)] 106072K->2104K(276480K), 0.0005839 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.572: [GC (Allocation Failure) [PSYoungGen: 100928K->64K(98816K)] 102968K->2104K(273920K), 0.0005108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.649: [GC (Allocation Failure) [PSYoungGen: 98368K->64K(96256K)] 100408K->2104K(271360K), 0.0007252 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
9.721: [GC (Allocation Failure) [PSYoungGen: 95808K->64K(93696K)] 97848K->2104K(268800K), 0.0005166 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.787: [GC (Allocation Failure) [PSYoungGen: 93248K->96K(91136K)] 95288K->2136K(266240K), 0.0005422 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.850: [GC (Allocation Failure) [PSYoungGen: 90720K->96K(88576K)] 92760K->2136K(263680K), 0.0005744 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.910: [GC (Allocation Failure) [PSYoungGen: 88160K->64K(804352K)] 90200K->2104K(979456K), 0.0005050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.610: [GC (Allocation Failure) [PSYoungGen: 803904K->160K(767488K)] 805944K->2200K(942592K), 0.0005914 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.161: [GC (Allocation Failure) [PSYoungGen: 767136K->32K(732160K)] 769176K->2136K(907264K), 0.0006116 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.688: [GC (Allocation Failure) [PSYoungGen: 731680K->96K(698880K)] 733784K->2200K(873984K), 0.0005634 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.175: [GC (Allocation Failure) [PSYoungGen: 698464K->96K(667136K)] 700568K->2200K(842240K), 0.0005253 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.656: [GC (Allocation Failure) [PSYoungGen: 666720K->96K(636928K)] 668824K->2200K(812032K), 0.0005070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.095: [GC (Allocation Failure) [PSYoungGen: 636512K->64K(608256K)] 638616K->2176K(783360K), 0.0005205 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.528: [GC (Allocation Failure) [PSYoungGen: 607808K->96K(581120K)] 609920K->2208K(756224K), 0.0005428 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.941: [GC (Allocation Failure) [PSYoungGen: 580704K->64K(555520K)] 582816K->2176K(730624K), 0.0005023 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
14.324: [GC (Allocation Failure) [PSYoungGen: 555072K->96K(530944K)] 557184K->2208K(706048K), 0.0005531 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
14.695: [GC (Allocation Failure) [PSYoungGen: 530528K->64K(507392K)] 532640K->2176K(682496K), 0.0007852 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.064: [GC (Allocation Failure) [PSYoungGen: 506944K->96K(485376K)] 509056K->2208K(660480K), 0.0005767 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.405: [GC (Allocation Failure) [PSYoungGen: 484960K->64K(464384K)] 487072K->2176K(639488K), 0.0005207 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.721: [GC (Allocation Failure) [PSYoungGen: 463936K->64K(444416K)] 466048K->2176K(619520K), 0.0005298 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.029: [GC (Allocation Failure) [PSYoungGen: 443968K->64K(425472K)] 446080K->2176K(600576K), 0.0007552 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.340: [GC (Allocation Failure) [PSYoungGen: 425024K->64K(407552K)] 427136K->2176K(582656K), 0.0005137 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.638: [GC (Allocation Failure) [PSYoungGen: 407104K->64K(390144K)] 409216K->2176K(565248K), 0.0009282 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
16.920: [GC (Allocation Failure) [PSYoungGen: 389696K->32K(373760K)] 391808K->2144K(548864K), 0.0005399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.185: [GC (Allocation Failure) [PSYoungGen: 373280K->96K(357888K)] 375392K->2208K(532992K), 0.0005250 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.436: [GC (Allocation Failure) [PSYoungGen: 357472K->64K(343040K)] 359584K->2176K(518144K), 0.0005530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.680: [GC (Allocation Failure) [PSYoungGen: 342592K->64K(328704K)] 344704K->2176K(503808K), 0.0005281 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.983: [GC (Allocation Failure) [PSYoungGen: 328256K->64K(315392K)] 330368K->2176K(490496K), 0.0005358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.205: [GC (Allocation Failure) [PSYoungGen: 314944K->96K(302592K)] 317056K->2208K(477696K), 0.0006381 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.418: [GC (Allocation Failure) [PSYoungGen: 302176K->64K(290304K)] 304288K->2176K(465408K), 0.0005262 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
18.620: [GC (Allocation Failure) [PSYoungGen: 289856K->96K(278528K)] 291968K->2208K(453632K), 0.0005124 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.810: [GC (Allocation Failure) [PSYoungGen: 278112K->96K(267776K)] 280224K->2208K(442880K), 0.0005172 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.008: [GC (Allocation Failure) [PSYoungGen: 267360K->32K(257536K)] 269472K->2144K(432640K), 0.0005073 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.204: [GC (Allocation Failure) [PSYoungGen: 257056K->64K(247296K)] 259168K->2176K(422400K), 0.0010699 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.379: [GC (Allocation Failure) [PSYoungGen: 246848K->96K(237568K)] 248960K->2208K(412672K), 0.0005099 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
19.543: [GC (Allocation Failure) [PSYoungGen: 237152K->96K(228352K)] 239264K->2208K(403456K), 0.0005302 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.701: [GC (Allocation Failure) [PSYoungGen: 227936K->64K(219648K)] 230048K->2176K(394752K), 0.0005808 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.853: [GC (Allocation Failure) [PSYoungGen: 219200K->64K(211456K)] 221312K->2176K(386560K), 0.0005190 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.014: [GC (Allocation Failure) [PSYoungGen: 211008K->64K(203776K)] 213120K->2176K(378880K), 0.0009682 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.155: [GC (Allocation Failure) [PSYoungGen: 203328K->96K(196096K)] 205440K->2208K(371200K), 0.0006112 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.290: [GC (Allocation Failure) [PSYoungGen: 195680K->96K(188928K)] 197792K->2208K(364032K), 0.0005985 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.419: [GC (Allocation Failure) [PSYoungGen: 188512K->96K(182272K)] 190624K->2232K(357376K), 0.0005378 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.543: [GC (Allocation Failure) [PSYoungGen: 181856K->96K(175616K)] 183992K->2232K(350720K), 0.0005160 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.662: [GC (Allocation Failure) [PSYoungGen: 175200K->96K(169472K)] 177336K->2232K(344576K), 0.0005165 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.777: [GC (Allocation Failure) [PSYoungGen: 169056K->96K(163840K)] 171192K->2232K(338944K), 0.0005128 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.892: [GC (Allocation Failure) [PSYoungGen: 163424K->64K(158208K)] 165560K->2200K(333312K), 0.0005088 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.007: [GC (Allocation Failure) [PSYoungGen: 157760K->96K(153088K)] 159896K->2232K(328192K), 0.0005101 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.117: [GC (Allocation Failure) [PSYoungGen: 152672K->96K(147968K)] 154808K->2232K(323072K), 0.0005655 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.221: [GC (Allocation Failure) [PSYoungGen: 147552K->96K(143360K)] 149688K->2232K(318464K), 0.0007141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.321: [GC (Allocation Failure) [PSYoungGen: 142944K->64K(138752K)] 145080K->2200K(313856K), 0.0007270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.419: [GC (Allocation Failure) [PSYoungGen: 138304K->64K(134144K)] 140440K->2200K(309248K), 0.0005795 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.515: [GC (Allocation Failure) [PSYoungGen: 133696K->64K(130048K)] 135832K->2200K(305152K), 0.0005182 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.606: [GC (Allocation Failure) [PSYoungGen: 129600K->64K(125952K)] 131736K->2200K(301056K), 0.0005133 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.692: [GC (Allocation Failure) [PSYoungGen: 125504K->0K(121856K)] 127640K->2136K(296960K), 0.0005307 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.774: [GC (Allocation Failure) [PSYoungGen: 121344K->64K(118272K)] 123480K->2200K(293376K), 0.0005150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.855: [GC (Allocation Failure) [PSYoungGen: 117824K->64K(114688K)] 119960K->2200K(289792K), 0.0005197 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.934: [GC (Allocation Failure) [PSYoungGen: 114240K->96K(111104K)] 116376K->2232K(286208K), 0.0005264 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.010: [GC (Allocation Failure) [PSYoungGen: 110688K->96K(108032K)] 112824K->2232K(283136K), 0.0005380 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.085: [GC (Allocation Failure) [PSYoungGen: 107616K->0K(104960K)] 109752K->2136K(280064K), 0.0005581 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.160: [GC (Allocation Failure) [PSYoungGen: 104448K->64K(101888K)] 106584K->2200K(276992K), 0.0013344 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.239: [GC (Allocation Failure) [PSYoungGen: 101440K->32K(98816K)] 103576K->2168K(273920K), 0.0016975 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.313: [GC (Allocation Failure) [PSYoungGen: 98336K->64K(96256K)] 100472K->2200K(271360K), 0.0005372 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.381: [GC (Allocation Failure) [PSYoungGen: 95808K->96K(93696K)] 97944K->2232K(268800K), 0.0005177 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.445: [GC (Allocation Failure) [PSYoungGen: 93280K->64K(91136K)] 95416K->2200K(266240K), 0.0005175 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.510: [GC (Allocation Failure) [PSYoungGen: 90688K->64K(88576K)] 92824K->2200K(263680K), 0.0006251 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.573: [GC (Allocation Failure) [PSYoungGen: 88128K->64K(804352K)] 90264K->2200K(979456K), 0.0005473 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.159: [GC (Allocation Failure) [PSYoungGen: 803904K->32K(767488K)] 806040K->2168K(942592K), 0.0005719 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.695: [GC (Allocation Failure) [PSYoungGen: 767008K->96K(732160K)] 769144K->2232K(907264K), 0.0005464 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
24.208: [GC (Allocation Failure) [PSYoungGen: 731744K->96K(698880K)] 733880K->2232K(873984K), 0.0005321 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.713: [GC (Allocation Failure) [PSYoungGen: 698464K->64K(667136K)] 700600K->2200K(842240K), 0.0007011 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.203: [GC (Allocation Failure) [PSYoungGen: 666688K->64K(636928K)] 668824K->2200K(812032K), 0.0005207 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.652: [GC (Allocation Failure) [PSYoungGen: 636480K->96K(608256K)] 638616K->2232K(783360K), 0.0005092 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.070: [GC (Allocation Failure) [PSYoungGen: 607840K->64K(581120K)] 609976K->2200K(756224K), 0.0005275 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.479: [GC (Allocation Failure) [PSYoungGen: 580672K->64K(555520K)] 582808K->2200K(730624K), 0.0005545 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.867: [GC (Allocation Failure) [PSYoungGen: 555072K->96K(530944K)] 557208K->2232K(706048K), 0.0005214 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
27.331: [GC (Allocation Failure) [PSYoungGen: 530528K->96K(507392K)] 532664K->2232K(682496K), 0.0005363 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.094: [GC (Allocation Failure) [PSYoungGen: 506976K->96K(485376K)] 509112K->2232K(660480K), 0.0007349 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.530: [GC (Allocation Failure) [PSYoungGen: 484960K->96K(464384K)] 487096K->2232K(639488K), 0.0005922 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.912: [GC (Allocation Failure) [PSYoungGen: 463968K->32K(444416K)] 466104K->2176K(619520K), 0.0006742 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.286: [GC (Allocation Failure) [PSYoungGen: 443936K->64K(425472K)] 446080K->2208K(600576K), 0.0009002 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.639: [GC (Allocation Failure) [PSYoungGen: 425024K->96K(407552K)] 427168K->2240K(582656K), 0.0005672 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.956: [GC (Allocation Failure) [PSYoungGen: 407136K->64K(390144K)] 409280K->2208K(565248K), 0.0011528 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
30.244: [GC (Allocation Failure) [PSYoungGen: 389696K->64K(373760K)] 391840K->2208K(548864K), 0.0005742 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.532: [GC (Allocation Failure) [PSYoungGen: 373312K->96K(357888K)] 375456K->2240K(532992K), 0.0005745 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.787: [GC (Allocation Failure) [PSYoungGen: 357472K->96K(343040K)] 359616K->2264K(518144K), 0.0005298 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.029: [GC (Allocation Failure) [PSYoungGen: 342624K->96K(328704K)] 344792K->2264K(503808K), 0.0005308 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.277: [GC (Allocation Failure) [PSYoungGen: 328288K->96K(315392K)] 330456K->2264K(490496K), 0.0005683 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.493: [GC (Allocation Failure) [PSYoungGen: 314976K->64K(302592K)] 317144K->2232K(477696K), 0.0005546 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.708: [GC (Allocation Failure) [PSYoungGen: 302144K->96K(290304K)] 304312K->2264K(465408K), 0.0005558 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
31.913: [GC (Allocation Failure) [PSYoungGen: 289888K->96K(278528K)] 292056K->2264K(453632K), 0.0005168 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.160: [GC (Allocation Failure) [PSYoungGen: 278112K->64K(267776K)] 280280K->2232K(442880K), 0.0011182 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.395: [GC (Allocation Failure) [PSYoungGen: 267328K->32K(321536K)] 269496K->2200K(496640K), 0.0159427 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
32.721: [GC (Allocation Failure) [PSYoungGen: 321056K->96K(386048K)] 323224K->2264K(561152K), 0.0005493 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
